guid,retrofit_key,retrofit_value
1d7375f7-6d25-4aeb-b619-d3db89216bb0,elevation,5
a109151c-cda5-4c16-a931-030700751d5b,elevation,5
dce7f2bc-1cca-4c9f-b7df-306232e3c09f,elevation,5
e84e456b-0766-49d0-88a4-e40f744d918d,elevation,5
3948cd6a-69cb-4bc3-b856-17dc838009d9,elevation,5
197feda1-6db1-4e25-9816-3f77c2b307f3,elevation,5
88a8b57c-d9c0-487c-9272-1ef89f0ea017,elevation,5
2daaec3d-9e65-4700-ae0b-1411e35e8137,elevation,5
cafe8501-7146-406d-9ad1-7bfc2a17633e,elevation,5
36e6ed6a-6674-4d8d-a086-c9aeea284e82,elevation,5
e3c22aff-a732-4fb2-8ad3-c87acc5522ff,elevation,5
2ec408da-4f94-4f37-8927-ff59c481076c,elevation,5
2984b7d1-5598-4939-b63a-a97b8c89e8af,elevation,5
8c32c9ca-f083-4d23-b7ad-1751c2a01d4f,elevation,5
0c30db4a-d1d2-4028-bb73-b99d58a3bfaf,elevation,5
57481930-4934-4bf4-9a38-7ff590502133,elevation,5
13d6edc4-ebcc-4845-a675-1de15c7e326b,elevation,5
da249dcc-da3d-42af-8eac-8b86de243ec0,elevation,5
2dcacf14-76f3-4671-a8cb-e3e18bcdfa7b,elevation,5
eb81ab2e-149d-46ce-8e8f-5b398a71c2fb,elevation,5
e9bd6337-a147-4e36-b100-990e47a0056b,elevation,5
aa241934-1a20-4cee-ba52-6728d2f2a2f5,elevation,5
d2ce9e27-8090-49ae-92d1-6b84675cbb2f,elevation,5
034a2c60-07aa-4b3b-89a8-a788980bc689,elevation,5
ce410a41-8b01-4e11-954e-4be248653bad,elevation,5
ec1ba4ed-6bd7-4eaa-9bb4-2ffb40bcaf1d,elevation,5
8a223069-a2fa-4379-b7fa-5f12d24d0d36,elevation,5
690ad011-3103-4a07-93d6-3c333acacb47,elevation,5
771d8b62-817c-42cf-bd53-ad08ad31d5bc,elevation,5
035cb9a7-3cc9-4196-91f8-b9573ca987a3,elevation,5
01ef0d14-a58a-4981-be95-d3ab5a87b170,elevation,5
5c6c3828-fbbf-43bd-b3a6-e97643b6b79f,elevation,5
1501fc32-66a1-4b80-8a4d-8377a9d1bbae,elevation,5
8c986224-fa62-486a-9794-c956e58ea6ec,elevation,5
b11b706b-d01d-4fb5-a958-79be5b6aa8e3,elevation,5
514c1738-8ace-48af-a3d7-2246e26346ab,elevation,5
dcbe9f0c-1976-4852-910b-050e733db353,elevation,5
18739264-d9ae-4b12-9e00-53ec2388238d,elevation,5
9a8d705e-a55d-47c4-9e06-ccc8998e6ff2,elevation,5
bbe4168c-2c81-4576-8f2a-633f92b372a1,elevation,5
7fc60e9f-9116-4a66-af85-17aef5f708be,elevation,5
3ef08a7e-80aa-468f-a072-58cf6450dcd6,elevation,5
b12b22f2-48c9-4987-ae40-59397a65865e,elevation,5
bc2ba6e3-5f80-45ee-a5c1-7f462ac27937,elevation,5
1a5f5fa6-6913-4593-8703-49eab95d73e1,elevation,5
7a873a12-e6a9-45fc-9022-8ba6cfc014b8,elevation,5
7fbef2f6-8af9-4317-bcf9-c9046d15ffcb,elevation,5
424ad119-f060-4bd1-9db4-df4c67efc672,elevation,5
bc93fb4a-ebf2-4fb2-8b44-75988ee3c8d9,elevation,5
ee254b35-1a5f-4cf4-957c-4148f2a51e4d,elevation,5
72f3cac5-9139-43be-a4df-6b08bf6d2e57,elevation,5
939499e4-d396-4040-b20b-be20a8d355ef,elevation,5
0c8535f0-aed9-4a32-96a7-7110b6c1886e,elevation,5
c3825002-221b-4b90-902f-2d3d3d786ce9,elevation,5
02bcc7ea-7de8-4302-a0b9-d0dde10c8282,elevation,5
a1791830-6060-4341-8950-6308d80ebcb0,elevation,5
4720eaeb-8982-45cb-a766-f2248e8afc11,elevation,5
9597fea1-60fd-45fb-8170-107925a152af,elevation,5
9ae0e0c9-118e-4967-81f8-d7e2e54ef953,elevation,5
05f52ebc-2a1d-42fe-8e6e-9e8cd220bfcc,elevation,10
e4a6249a-df7a-4981-864e-2dfbdd674534,elevation,10
7b573f06-838a-4470-9a66-7d12f72b4641,elevation,10
41f5b2dd-5d0b-4f2c-b3d4-107131d43b67,elevation,10
eb1c4fff-15c5-40a0-b978-a3b794b75873,elevation,10
01551c3a-30d3-471c-ab1a-1b55215c9aa3,elevation,10
815dbc12-4efc-4016-ab85-91c93582e594,elevation,10
d0c89671-ddf1-41b4-b459-1191b92ecd6b,elevation,10
fef11194-28e7-49f2-bbd4-1cbcfac2b38f,elevation,10
8a7a35c6-2b5a-45e7-ac4e-40a2ecfc1f96,elevation,10
33d1211e-550d-4dc1-a662-e62280b65d1e,elevation,10
1eb5bde0-a858-4ddb-adf4-d9b71c276d6f,elevation,10
7be35439-38a6-45b8-b9d8-73d2c60f94ca,elevation,10
bdae18c8-25ca-4a58-9a8d-2b40a4ac703f,elevation,10
84c0d5ab-d562-4205-8276-9c77b1dffd87,elevation,10
1399671a-0655-4698-a23e-052b1a07f3a0,elevation,10
c9a688fd-9174-42c7-962f-014b66662e0a,elevation,10
0e483f8d-d5cb-4ab9-81e2-250255e9eded,elevation,10
a2e1ac5c-2e12-4b7c-904f-887212a9a4e8,elevation,10
2a3ce38e-125e-4306-b7a2-e457f1753569,elevation,10
19da2d35-d97a-49a6-8fa2-d372332190ba,elevation,10
3a705114-f251-4c9b-bb87-6f19f5df3419,elevation,10
4a9ac28a-4bbb-4ad6-bb5d-bece0d805779,elevation,10
60ba5881-6085-4b14-b13d-5b58ca2a244f,elevation,10
0969abea-1f39-450b-a110-61faba2bff2a,elevation,10
b52c031b-7840-408f-91ec-940c66944663,elevation,10
47c2d9e2-c115-4f1a-901d-30e5f04a6f97,elevation,10
f5371a48-70f3-4e3f-89d2-6c332aeb85c3,elevation,10
2d3b41c1-5270-4a99-a48f-bddf7c8df8cb,elevation,10
f27e33f2-fe36-4fa1-9a51-c57a41cc42c5,elevation,10
85e7c955-9c41-4e1f-be26-807e90b52139,elevation,10
9ade81a4-0c35-4d41-9657-996b95755dc9,elevation,10
f934ed90-cd59-4b91-afe7-1a54c8a653dc,elevation,10
7089a80d-e1a6-4f91-844a-6acfdf0ce0ea,elevation,10
f4227b4a-fe6e-4fd4-aafc-3d0bedf4f906,elevation,10
fc58e95c-5a61-4f2d-9c6f-2ccd46caa5b2,elevation,10
57306fba-da81-444e-bb1e-8f957d2760cb,elevation,10
510aa7e6-c1f7-4683-8583-945e8e50f1a1,elevation,10
81934649-757a-41c4-af93-fcdadbd44494,elevation,5
c93c03b3-09d9-427a-b3e1-6035a512599d,elevation,5
7e2f6052-fbc8-4404-8721-7ed145e8928d,elevation,5
d1ca7c30-24c1-4dd4-a394-642e40511176,elevation,5
a989527f-bec0-40b6-9fbe-63d8dd576b2b,elevation,5
78936a17-503b-4c86-9f90-bd623f62fd53,elevation,5
8f6aa3eb-59d3-4a71-b7f8-79f11c83b916,elevation,5
0151cba8-85b3-4e8d-9f35-b2b60c475283,elevation,5
af4ac82b-7004-40d0-a468-7734c1eb7fcd,elevation,5
064954bc-7bd7-47b8-9e9b-1bc4ea924f4b,elevation,5
13fff3cc-9768-4132-bf49-90e370bc872f,elevation,5
